isbn13,title,authorLN,authorFN,subjects,num of subjects,format,price,publisher,pubdate
9780393929942,"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",Klinkowitz,Jerome,American Literature Anthologies,1.0,Paperback,$20.00,"Norton, W. W. & Company, Inc.",April 2007
9780486296043,"African-American Poetry: An Anthology, 1773-1930",Sherman,Joan R.,"Poetry Anthologies, American Poetry, African Americans - Fiction & Literature, American Literature Anthologies",4.0,Paperback,$1.80,Dover Publications,July 1997
9780060595371,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Lamb,Wally,"American Literature Anthologies, Penology & Correctional Studies, True Crime",3.0,Paperback,$10.59,HarperCollins Publishers,February 2004
9780393979213,"The Norton Anthology of Poetry, Shorter 5th Edition",Ferguson,Margaret,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",5.0,Paperback,$58.69,"Norton, W. W. & Company, Inc.",December 2004
9781439181454,The Best American Poetry 2010,Gerstler,Amy,"Poetry Anthologies, American Poetry, American Literature Anthologies",3.0,Paperback,$13.87,Simon & Schuster Adult Publishing Group,September 2010
9780451528247,"Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl",Gates Jr.,Henry Louis,"Slavery - Social Sciences, Slave Narratives & Biographies, Historical Figures - Women's Biography, African American Women's Biography, African American Political & Historical Biography",5.0,Mass Market Paperback,$1.99,Penguin Group (USA),January 2002
9780547241609,The Best American Nonrequired Reading 2009,Eggers,Dave,"Short Story Anthologies, American Literature Anthologies",2.0,Paperback,$14.39,Houghton Mifflin Harcourt,October 2009
9780393326659,In Fact: The Best of Creative Nonfiction,Gutkind,Lee,"Journalism - Collections & History, American Essays, Nonfiction Writing - General & Miscellaneous, American Literature Anthologies, Journalism - General & Miscellaneous",5.0,Paperback,$15.24,"Norton, W. W. & Company, Inc.",November 2004
9780618155873,The Best American Essays of the Century,Oates,Joyce Carol,"American Essays, American Literature Anthologies",2.0,Paperback,$14.84,Houghton Mifflin Harcourt,October 2001
9780385000192,The Best Loved Poems of the American People,Felleman,Hazel,"Poetry Anthologies, American Poetry, Poetry - General & Miscellaneous, American Literature Anthologies",4.0,Hardcover,$17.92,Knopf Doubleday Publishing Group,October 1936
9780393927399,The Norton Anthology of American Literature: Volume A: Beginnings to 1820,Franklin,Wayne,American Literature Anthologies,1.0,Paperback,$37.77,"Norton, W. W. & Company, Inc.",April 2007
9780393979206,The Norton Anthology of Poetry,Ferguson,Margaret,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",5.0,Paperback,$66.30,"Norton, W. W. & Company, Inc.",December 2004
9780393977783,"The Norton Anthology of African American Literature, Vol. 2",Gates Jr.,Henry Louis,Peoples & Cultures - American Anthologies,1.0,Paperback,$72.82,"Norton, W. W. & Company, Inc.",December 2003
9780312463199,"Poems, Poets, Poetry: An Introduction and Anthology",Vendler,Helen,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",5.0,Paperback,$1.99,Bedford/St. Martin's,October 2009
9780393061819,The Poets Laureate Anthology,Schmidt,Elizabeth Hun,"Poetry, American Literature Anthologies, Anthologies",3.0,Hardcover,$38.52,"Norton, W. W. & Company, Inc.",October 2010
9781557837608,The Best American Short Plays 2008-2009,Parisi,Barbara,"Drama Anthologies, American Drama, American Literature Anthologies",3.0,Paperback,$14.85,Applause Theatre Book Publishers,October 2010
9780425234280,The Gift of Love,Foster,Lori,"Short Story Anthologies, Family & Friendship - Fiction, American Literature Anthologies",3.0,Paperback,$14.43,Penguin Group (USA),June 2010
9781435114760,One Hundred and One Famous Poems (Barnes &amp; Noble Library of Essential Reading),Cook,Roy J.,Literary Collections,1.0,Paperback,$8.95,Barnes & Noble,February 2009
9781400030934,The Vintage Book of Contemporary American Poetry,McClatchy,J. D.,"Poetry Anthologies, American Poetry, American Literature Anthologies",3.0,Paperback,$13.65,Knopf Doubleday Publishing Group,April 2003
9780205655106,Literature: A Pocket Anthology,Gwynn,R. S.,Literary Collections,1.0,Paperback,$46.67,Longman,January 2009
9780061626395,I'll Fly Away: Further Testimonies from the Women of York Prison,Lamb,Wally,"Penology & Correctional Studies - General & Miscellaneous, Prisons & Prison Life, American Literature Anthologies",3.0,Paperback,$10.99,HarperCollins Publishers,October 2008
9781598530209,American Earth: Environmental Writing Since Thoreau,McKibben,Bill,"Natural Literature & History, Literature Anthologies - General & Miscellaneous, American Literature Anthologies",3.0,Hardcover,$29.13,Library of America,April 2008
9780060540425,Best Poems of the English Language: From Chaucer Through Robert Frost,Bloom,Harold,"Poetry, American Literature Anthologies, Anthologies, English, Irish, & Scottish Poetry",6.0,Paperback,$15.79,HarperCollins Publishers,August 2007
9780061728945,Humor Me: An Anthology of Funny Contemporary Writing (Plus Some Great Old Stuff Too),Frazier,Ian,"Humor, General",2.0,Hardcover,$25.99,HarperCollins Publishers,May 2010
9781565841475,Coming of Age in America: A Multicultural Anthology,Frosch,Mary,"Peoples & Cultures - American Anthologies, Ethnic & Minority Studies - United States",2.0,Paperback,$16.41,"New Press, The",September 2007
9780486457574,"Three African-American Classics: Up from Slavery, The Souls of Black Folk and Narrative of the Life of Frederick Douglass",Washington,Booker T.,"Teachers - General & Miscellaneous - Biography, Slavery - Social Sciences, Civil Rights - Movements & Figures, Historical Biography - United States - 19th Century, Civil Rights - African American History, Abolitionists - Biography, Slavery & Abolitionism",7.0,Paperback,$6.63,Dover Publications,February 2007
9781402221118,100 Best African American Poems with CD,Giovanni,Nikki,"Poetry Anthologies, American Poetry, American Literature Anthologies",3.0,Other Format,$18.39,"Sourcebooks, Incorporated",November 2010
9780679745259,Six American Poets: An Anthology,Conarroe,Joel,"Poetry, American Literature Anthologies, Anthologies",3.0,Paperback,$12.24,Knopf Doubleday Publishing Group,December 1993
9780393930153,Norton Anthology of Literature by Women: The Traditions in English,Gilbert,Sandra M.,"American Literature Anthologies, Anthologies",2.0,Paperback,$70.64,"Norton, W. W. & Company, Inc.",February 2007
9780135145289,Multicultural Children's Literature: Through the Eyes of Many Children,Norton,Donna E.,"Literary Criticism, Children's Literature",2.0,Paperback,$46.00,Prentice Hall,March 2008
9780553262636,The Voice That Is Great within Us: American Poetry of the Twentieth Century,Carruth,Hayden,"Poetry Anthologies, American Poetry, American Literature Anthologies",3.0,Mass Market Paperback,$8.40,Random House Publishing Group,September 1983
9780385044011,Poems That Touch the Heart,Alexander,A.L.,"Poetry Anthologies, American Poetry, American Literature Anthologies, Inspirational & Religious Poetry - General & Miscellaneous",4.0,Hardcover,$14.99,Knopf Doubleday Publishing Group,October 1984
9780312421007,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Auster,Paul,"Short Story Anthologies, Historical Biography - United States - General & Miscellaneous, World History - General & Miscellaneous, American Literature Anthologies",4.0,Paperback,$12.29,Picador,September 2002
